Code_Function	Message
"override fun formatChannelName(channel: Channel, currentUser: User?): String {return channel.getDisplayName(context, currentUser,R.string.stream_compose_untitled_channel, maxMembers)}}"	Generates a name for the given channel.
public fun Channel.getLastMessage(currentUser: User?): Message? = getPreviewMessage(currentUser)	"Returns channel's last regular or system message if exists. Deleted and silent messages, as well as messages from shadow-banned users, are not taken into account."
public fun Channel.getReadStatuses(userToIgnore: User?): List<Date> { return read.filter { it.user.id != userToIgnore?.id }.mapNotNull { it.lastRead }}	Filters the read status of each person other than the target user.
"public fun Channel.isDistinct(): Boolean = cid.contains(""!members"")"	"Checks if the channel is distinct. A distinct channel is a channel created without ID based on members. Internally the server creates a CID which starts with ""!members"" prefix and is unique for this particular group of users."
public fun Channel.isOneToOne(currentUser: User?): Boolean { return isDistinct() && members.size == 2 && members.any { it.user.id == currentUser?.id } }	Checks if the channel is a direct conversation between the current user and some other user. A one-to-one chat is basically a corner case of a distinct channel with only 2 members.
"public fun Channel.getMembersStatusText(context: Context, currentUser: User?): String { return getMembersStatusText(context = context,currentUser = currentUser, userOnlineResId = R.string.stream_compose_user_status_online, userLastSeenJustNowResId = R.string.stream_compose_user_status_last_seen_just_now, userLastSeenResId = R.string.stream_compose_user_status_last_seen, memberCountResId = R.plurals.stream_compose_member_count, memberCountWithOnlineResId = R.string.stream_compose_member_count_online,) }"	Returns a string describing the member status of the channel: either a member count for a group channel or the last seen text for a direct one-to-one conversation with the current user.
public fun Channel.getOtherUsers(currentUser: User?): List<User> { val currentUserId = currentUser?.id return if (currentUserId != null) {members.filterNot { it.user.id == currentUserId }} else {members}.map { it.user } }	Returns a list of users that are members of the channel excluding the currently logged in user.
"@Composable @ReadOnlyComposable internal fun initialsGradient(initials: String): Brush {val gradientBaseColors = LocalContext.current.resources.getIntArray(R.array.stream_compose_avatar_gradient_colors)val baseColorIndex = abs(initials.hashCode()) % gradientBaseColors.sizeval baseColor = gradientBaseColors[baseColorIndex]return Brush.linearGradient(listOf(Color(adjustColorBrightness(baseColor, GradientDarkerColorFactor)),Color(adjustColorBrightness(baseColor, GradientLighterColorFactor)),))}"	Generates a gradient for an initials avatar based on the user initials.
"public fun Modifier.mirrorRtl(layoutDirection: LayoutDirection): Modifier { return this.scale( scaleX = if (layoutDirection == LayoutDirection.Ltr) 1f else -1f, scaleY = 1f ) }"	Applies the given mirroring scaleX based on the [layoutDirection] that's currently configured in the UI. Useful since the Painter from Compose doesn't know how to parse autoMirrored` flags in SVGs.
"@Composable public fun rememberStreamImagePainter( data: Any?, placeholderPainter: Painter? = null, errorPainter: Painter? = null, fallbackPainter: Painter? = errorPainter, onLoading: ((AsyncImagePainter.State.Loading) -> Unit)? = null, onSuccess: ((AsyncImagePainter.State.Success) -> Unit)? = null, onError: ((AsyncImagePainter.State.Error) -> Unit)? = null, contentScale: ContentScale = ContentScale.Fit, filterQuality: FilterQuality = DrawScope.DefaultFilterQuality, ): AsyncImagePainter { return rememberAsyncImagePainter( model = ImageRequest.Builder(LocalContext.current) .data(data).build(), imageLoader = LocalStreamImageLoader.current, placeholder = placeholderPainter, error = errorPainter, fallback = fallbackPainter, contentScale = contentScale, onSuccess = onSuccess, onError = onError, onLoading = onLoading, filterQuality = filterQuality ) }"	"Wrapper around the [coil.compose.rememberAsyncImagePainter] that plugs in our [LocalStreamImageLoader] singleton that can be used to customize all image loading requests, like adding headers, interceptors and similar."
public val LocalStreamImageLoader: StreamImageLoaderProvidableCompositionLocal = StreamImageLoaderProvidableCompositionLocal()	"A [CompositionLocal] that returns the current [ImageLoader] for the composition. If a local [ImageLoader] has not been provided, it returns the singleton instance of [ImageLoader] in [Coil]. "
"@JvmInline public value class StreamImageLoaderProvidableCompositionLocal internal constructor(private val delegate: ProvidableCompositionLocal<ImageLoader?> = staticCompositionLocalOf { null }, ) {public val current: ImageLoader@Composable@ReadOnlyComposableget() = delegate.current ?: LocalContext.current.imageLoader public infix fun provides(value: ImageLoader): ProvidedValue<ImageLoader?> = delegate provides value }"	A provider of [CompositionLocal] that returns the current [ImageLoader] for the composition.
"@Composable public fun rememberMessageListState(initialFirstVisibleItemIndex: Int = 0,initialFirstVisibleItemScrollOffset: Int = 0,parentMessageId: String? = null,): LazyListState {val baseListState = rememberLazyListState(initialFirstVisibleItemIndex, initialFirstVisibleItemScrollOffset) return if (parentMessageId != null) { rememberLazyListState() } else { baseListState } }"	"Provides a [LazyListState] that's tied to a given message list. This is the default behavior, where we keep the base scroll position of the list persisted at all times, while the thread scroll state is always new, whenever we enter a thread. In case you want to customize the behavior, provide the [LazyListState] based on your logic and conditions."
"private class DefaultMessagePreviewFormatter( private val context: Context,private val messageTextStyle: TextStyle,private val senderNameTextStyle: TextStyle,private val attachmentTextFontStyle: TextStyle,private val attachmentFactories: List<AttachmentFactory>,) : MessagePreviewFormatter {"	"The default implementation of [MessagePreviewFormatter] that allows to generate a preview text for a message with the following spans: sender name, message text, attachments preview text."
"override fun formatMessagePreview(message: Message,currentUser: User?,): AnnotatedString {return buildAnnotatedString {message.let { message ->val messageText = message.text.trim()if (message.isSystem()) {append(messageText)} else {appendSenderName(message = message,currentUser = currentUser,senderNameTextStyle = senderNameTextStyle)appendMessageText(messageText = messageText,messageTextStyle = messageTextStyle)appendAttachmentText(attachments = message.attachments, attachmentFactories = attachmentFactories,attachmentTextStyle = attachmentTextFontStyle)}}}}"	Generates a preview text for the given message.
"private fun AnnotatedString.Builder.appendSenderName(message: Message,currentUser: User?,senderNameTextStyle: TextStyle,) {val sender = message.getSenderDisplayName(context, currentUser)if (sender != null) {append(""$sender: "")addStyle(SpanStyle(fontStyle = senderNameTextStyle.fontStyle,fontWeight = senderNameTextStyle.fontWeight,fontFamily = senderNameTextStyle.fontFamily),start = 0,end = sender.length)}}"	Appends the sender name to the [AnnotatedString].
"private fun AnnotatedString.Builder.appendMessageText(messageText: String,messageTextStyle: TextStyle,) {if (messageText.isNotEmpty()) {val startIndex = this.lengthappend(""$messageText "")addStyle(SpanStyle(fontStyle = messageTextStyle.fontStyle,fontFamily = messageTextStyle.fontFamily),start = startIndex,end = startIndex + messageText.length)}}"	Appends the message text to the [AnnotatedString].
"private fun AnnotatedString.Builder.appendAttachmentText(attachments: List<Attachment>,attachmentFactories: List<AttachmentFactory>,attachmentTextStyle: TextStyle,) {if (attachments.isNotEmpty()) {attachmentFactories.firstOrNull { it.canHandle(attachments) }?.textFormatter?.let { textFormatter ->attachments.mapNotNull { attachment ->textFormatter.invoke(attachment).let { previewText ->previewText.ifEmpty { null }}}.joinToString()}?.let { attachmentText ->val startIndex = this.lengthappend(attachmentText) addStyle(SpanStyle(fontStyle = attachmentTextStyle.fontStyle,fontFamily = attachmentTextStyle.fontFamily),start = startIndex,end = startIndex + attachmentText.length)}}}}"	Appends a string representations of [attachments] to the [AnnotatedString].
fun getIconRes(mimeType: String?): Int {if (mimeType == null) {return R.drawable.stream_compose_ic_file_generic}return mimeTypesToIconResMap[mimeType] ?: when { mimeType.contains(ModelType.attach_audio) -> R.drawable.stream_compose_ic_file_audio_genericmimeType.contains(ModelType.attach_video) -> R.drawable.stream_compose_ic_file_video_genericelse -> R.drawable.stream_compose_ic_file_generic}}	Returns a drawable resource for the given MIME type.
"private class DefaultReactionIconFactory( private val supportedReactions: Map<String, ReactionDrawable> = mapOf(THUMBS_UP to ReactionDrawable(iconResId = R.drawable.stream_compose_ic_reaction_thumbs_up,selectedIconResId = R.drawable.stream_compose_ic_reaction_thumbs_up_selected),LOVE to ReactionDrawable(iconResId = R.drawable.stream_compose_ic_reaction_love,selectedIconResId = R.drawable.stream_compose_ic_reaction_love_selected),LOL to ReactionDrawable(iconResId = R.drawable.stream_compose_ic_reaction_lol,selectedIconResId = R.drawable.stream_compose_ic_reaction_lol_selected),WUT to ReactionDrawable(iconResId = R.drawable.stream_compose_ic_reaction_wut,selectedIconResId = R.drawable.stream_compose_ic_reaction_wut_selected),THUMBS_DOWN to ReactionDrawable(iconResId = R.drawable.stream_compose_ic_reaction_thumbs_down,selectedIconResId = R.drawable.stream_compose_ic_reaction_thumbs_down_selected)),) : ReactionIconFactory { }"	The default implementation of [ReactionIconFactory] that uses drawable resources to create reaction icons.
override fun isReactionSupported(type: String): Boolean {return supportedReactions.containsKey(type)}	Checks if the factory is capable of creating an icon for the given reaction type.
"@Composable override fun createReactionIcon(type: String): ReactionIcon {val reactionDrawable = requireNotNull(supportedReactions[type])return ReactionIcon(painter = painterResource(reactionDrawable.iconResId),selectedPainter = painterResource(reactionDrawable.selectedIconResId))}"	Creates an instance of [ReactionIcon] for the given reaction type.
"@Composable override fun createReactionIcons(): Map<String, ReactionIcon> {return supportedReactions.mapValues { createReactionIcon(it.key)}} companion object { private const val LOVE: String = ""love"" private const val THUMBS_UP: String = ""like""private const val THUMBS_DOWN: String = ""sad""private const val LOL: String = ""haha""private const val WUT: String = ""wow""}}"	Creates [ReactionIcon]s for all the supported reaction types.
"public data class ReactionDrawable(@DrawableRes public val iconResId: Int,@DrawableRes public val selectedIconResId: Int,)"	Contains drawable resources for normal and selected reaction states.
"public data class ReactionIcon(val painter: Painter,val selectedPainter: Painter,) {}"	Contains [Painter]s for normal and selected states of the reaction icon.
public fun getFiles(): List<AttachmentMetaData> { return attachmentFilter.filterAttachments(storageHelper.getFileAttachments(context)) }	Loads a list of file metadata from the system and filters it against file types accepted by the backend.
public fun getMedia(): List<AttachmentMetaData> { return attachmentFilter.filterAttachments(storageHelper.getMediaAttachments(context)) }	Loads a list of media metadata from the system.
public fun getAttachmentsForUpload(attachments: List<AttachmentMetaData>): List<Attachment> { return getAttachmentsFromMetaData(attachments) }	Transforms a list of [AttachmentMetaData] into a list of [Attachment]s. This is required because we need to prepare the files for upload.
"private fun getAttachmentsFromMetaData(metaData: List<AttachmentMetaData>): List<Attachment> { return metaData.map { val fileFromUri = storageHelper.getCachedFileFromUri(context, it) Attachment( upload = fileFromUri, type = it.type, name = it.title ?: fileFromUri.name ?: """", fileSize = it.size.toInt(), mimeType = it.mimeType ) } }"	"Loads attachment files from the provided metadata, so that we can upload them."
public fun getAttachmentsFromUris(uris: List<Uri>): List<Attachment> { return getAttachmentsMetadataFromUris(uris).let(::getAttachmentsFromMetaData) }	Takes a list of file Uris and transforms them into a list of [Attachment]s so that we can upload them.
"public fun getAttachmentsMetadataFromUris(uris: List<Uri>): List<AttachmentMetaData> { return storageHelper.getAttachmentsFromUriList(context, uris) .let(attachmentFilter::filterAttachments) }"	Takes a list of file Uris and transforms them into a list of [AttachmentMetaData].
"public fun User.getLastSeenText(context: Context): String { return getLastSeenText(context = contextuserOnlineResId = R.string.stream_compose_user_status_online,userLastSeenJustNowResId = R.string.stream_compose_user_status_last_seen_just_now,userLastSeenResId = R.string.stream_compose_user_status_last_seen,)}"	"Returns a string describing the elapsed time since the user was online (was watching the channel). Depending on the elapsed time, the string can have one of the following formats:- Online - Last seen just now - Last seen 13 hours ago"
"@Composable public fun AttachmentsPicker(attachmentsPickerViewModel: AttachmentsPickerViewModel,onAttachmentsSelected: (List<Attachment>) -> Unit,onDismiss: () -> Unit, modifier: Modifier = Modifier, tabFactories: List<AttachmentsPickerTabFactory> = ChatTheme.attachmentsPickerTabFactories,shape: Shape = ChatTheme.shapes.bottomSheet,) {var selectedTabIndex by remember { mutableStateOf(0) }Box(modifier = Modifier.fillMaxSize().background(ChatTheme.colors.overlay).clickable(onClick = onDismiss,indication = null,interactionSource = remember { MutableInteractionSource() })) {Card(modifier = modifier.clickable(indication = null,onClick = {},interactionSource = remember { MutableInteractionSource() }),elevation = 4.dp,shape = shape,backgroundColor = ChatTheme.colors.inputBackground,) {Column {AttachmentPickerOptions(hasPickedAttachments = attachmentsPickerViewModel.hasPickedAttachments,tabFactories = tabFactories,tabIndex = selectedTabIndex,onTabClick = { index, attachmentPickerMode -> selectedTabIndex = indexattachmentsPickerViewModel.changeAttachmentPickerMode(attachmentPickerMode) { false }},onSendAttachmentsClick = {onAttachmentsSelected(attachmentsPickerViewModel.getSelectedAttachments())},)Surface(modifier = Modifier.fillMaxSize(),shape = RoundedCornerShape(topStart =16.dp, topEnd = 16.dp),color = ChatTheme.colors.barsBackground,) {tabFactories.getOrNull(selectedTabIndex)?.pickerTabContent(attachments =attachmentsPickerViewModel.attachments,onAttachmentItemSelected = attachmentsPickerViewModel::changeSelectedAttachments,onAttachmentsChanged = { attachmentsPickerViewModel.attachments = it },onAttachmentsSubmitted = {onAttachmentsSelected(attachmentsPickerViewModel.getAttachmentsFromMetaData(it))},)}}}}}"	"Represents the bottom bar UI that allows users to pick attachments. The picker renders its tabs based on the [tabFactories] parameter. Out of the box we provide factories for images, files and media capture tabs."
"Composable private fun AttachmentPickerOptions( hasPickedAttachments: Boolean, tabFactories: List<AttachmentsPickerTabFactory>, tabIndex: Int, onTabClick: (Int, AttachmentsPickerMode) -> Unit, onSendAttachmentsClick: () -> Unit, ) { Row( Modifier.fillMaxWidth(), verticalAlignment = Alignment.CenterVertically ) { Row(horizontalArrangement = Arrangement.SpaceEvenly) { tabFactories.forEachIndexed { index, tabFactory -> val isSelected = index == tabIndex val isEnabled = isSelected || (!isSelected && !hasPickedAttachments) IconButton( enabled = isEnabled, content = { tabFactory.pickerTabIcon( isEnabled = isEnabled, isSelected = isSelected ) }, onClick = { onTabClick(index, tabFactory.attachmentsPickerMode) } ) } }  Spacer(modifier = Modifier.weight(1f))  IconButton( enabled = hasPickedAttachments, onClick = onSendAttachmentsClick, content = { val layoutDirection = LocalLayoutDirection.current  Icon( modifier = Modifier .weight(1f).mirrorRtl(layoutDirection = layoutDirection),painter = painterResource(id = R.drawable.stream_compose_ic_circle_left),contentDescription = stringResource(id = R.string.stream_compose_send_attachment),tint = if (hasPickedAttachments){ChatTheme.colors.primaryAccent} else {ChatTheme.colors.textLowEmphasis})})}}"	The options for the Attachment picker. Shows tabs based on the provided list of [tabFactories] and a button to submit the selected attachments.
"@Composable override fun pickerTabIcon(isEnabled: Boolean, isSelected: Boolean) {Icon(painter = painterResource(id =R.drawable.stream_compose_ic_media_picker),contentDescription = stringResource(id = R.string.stream_compose_capture_option),tint = when {isSelected -> ChatTheme.colors.primaryAccentisEnabled -> ChatTheme.colors.textLowEmphasiselse -> ChatTheme.colors.disabled},)}"	Emits a camera icon for this tab.
"@OptIn(ExperimentalPermissionsApi::class) @Composable override fun pickerTabContent(attachments: List<AttachmentPickerItemState>,onAttachmentsChanged: (List<AttachmentPickerItemState>) -> Unit,onAttachmentItemSelected: (AttachmentPickerItemState) -> Unit,onAttachmentsSubmitted: (List<AttachmentMetaData>) -> Unit,) {val context = LocalContext.current val requiresCameraPermission = isCameraPermissionDeclared(context) val cameraPermissionState = if (requiresCameraPermission) rememberPermissionState(permission = Manifest.permission.CAMERA) else null val mediaCaptureResultLauncher = rememberLauncherForActivityResult(contract = CaptureMediaContract()) { file: File? -> val attachments = if (file == null) {emptyList()} else {listOf(AttachmentMetaData(context, file))} onAttachmentsSubmitted(attachments) }  if (cameraPermissionState == null || cameraPermissionState.status == PermissionStatus.Granted) { Box(modifier = Modifier.fillMaxSize()) { LaunchedEffect(Unit) { mediaCaptureResultLauncher.launch(Unit) } } } else if (cameraPermissionState.status is PermissionStatus.Denied) { MissingPermissionContent(cameraPermissionState) } }"	Emits content that allows users to start media capture.
"private fun isCameraPermissionDeclared(context: Context): Boolean { return context.packageManager.getPackageInfo(context.packageName, PackageManager.GET_PERMISSIONS) .requestedPermissions .contains(Manifest.permission.CAMERA) }"	Returns if we need to check for the camera permission or not.
"public fun defaultFactories(imagesTabEnabled: Boolean = true,filesTabEnabled: Boolean = true,mediaCaptureTabEnabled: Boolean = true,): List<AttachmentsPickerTabFactory> {return listOfNotNull(if (imagesTabEnabled) AttachmentsPickerImagesTabFactory() else null,if (filesTabEnabled) AttachmentsPickerFilesTabFactory() else null,if (mediaCaptureTabEnabled) AttachmentsPickerMediaCaptureTabFactory() else null,)}"	Builds the default list of attachment picker tab factories.
"@Composable public fun pickerTabContent(attachments: List<AttachmentPickerItemState>,onAttachmentsChanged: (List<AttachmentPickerItemState>) -> Unit,onAttachmentItemSelected: (AttachmentPickerItemState) -> Unit,onAttachmentsSubmitted: (List<AttachmentMetaData>) -> Unit,)"	Emits a content for the tab.
"@Composable public fun pickerTabIcon(isEnabled: Boolean, isSelected: Boolean)"	Emits an icon for the tab.
private val filterFlow: MutableStateFlow<FilterObject?> = MutableStateFlow(initialFilters)	State flow that keeps the value of the current [FilterObject] for channels.
private val querySortFlow: MutableStateFlow<QuerySorter<Channel>> = MutableStateFlow(initialSort)	State flow that keeps the value of the current [QuerySorter] for channels.
"private val queryConfigFlow = filterFlow.filterNotNull().combine(querySortFlow) { filters, sort -> QueryConfig(filters = filters, querySort = sort) }"	"The currently active query configuration, stored in a [MutableStateFlow]. It's created using the `initialFilters` parameter and the initial sort, but can be changed."
"private val searchQuery = MutableStateFlow("""")"	"The current state of the search input. When changed, it emits a new value in a flow, which queries and loads new data."
public var channelsState: ChannelsState by mutableStateOf(ChannelsState()) private set	The current state of the channels screen. It holds all the information required to render the UI.
public var selectedChannel: MutableState<Channel?> = mutableStateOf(null) private set	"Currently selected channel, if any. Used to show the bottom drawer information when long tapping on a list item."
public var activeChannelAction: ChannelAction? by mutableStateOf(null) private set	"Currently active channel action, if any. Used to show a dialog for deleting or leaving a channel/conversation."
public val connectionState: StateFlow<ConnectionState> = chatClient.clientState.connectionState	"The state of our network connection - if we're online, connecting or offline."
public val user: StateFlow<User?> = chatClient.clientState.user	The state of the currently logged in user.
public val channelMutes: StateFlow<List<ChannelMute>> = chatClient.globalState.channelMutes	Gives us the information about the list of channels mutes by the current user.
private fun buildDefaultFilter(): Flow<FilterObject> { return chatClient.clientState.user.map(Filters::defaultChannelListFilter).filterNotNull() }	"Builds the default channel filter, which represents ""messaging"" channels that the current user is a part of."
public fun isChannelMuted(cid: String): Boolean {return channelMutes.value.any { cid == it.channel.cid }}	Checks if the channel is muted for the current user.
private var queryChannelsState: StateFlow<QueryChannelsState?> = MutableStateFlow(null)	"Current query channels state that contains filter, sort and other states related to channels query."
init { if (initialFilters == null) {viewModelScope.launch {val filter = buildDefaultFilter().first()this@ChannelListViewModel.filterFlow.value = filter}}viewModelScope.launch {init()}}	Combines the latest search query and filter to fetch channels and emit them to the UI.
"private suspend fun init() { logger.d { ""Initializing ChannelListViewModel"" } searchQuery.combine(queryConfigFlow) { query, config -> query to config }.collectLatest { (query, config) ->val queryChannelsRequest = QueryChannelsRequest(filter = createQueryChannelsFilter(config.filters, query),querySort = config.querySort,limit = channelLimit,messageLimit = messageLimit,memberLimit = memberLimit,) logger.d { ""Querying channels as state"" } queryChannelsState = chatClient.queryChannelsAsState( request = queryChannelsRequest, chatEventHandlerFactory = chatEventHandlerFactory, coroutineScope = viewModelScope, )observeChannels(searchQuery = query)}}"	Makes the initial query to request channels and starts observing state changes.
"private fun createQueryChannelsFilter(filter: FilterObject, searchQuery: String): FilterObject { return if (searchQuery.isNotEmpty()) {Filters.and(Filter,Filters.or(Filters.and( Filters.autocomplete(""member.user.name"", searchQuery),Filters.notExists(""name"")),Filters.autocomplete(""name"", searchQuery)))} else {filter}}"	"Creates a filter that is used to query channels. If the [searchQuery] is empty, then returns the original [filter] provided by the user. Otherwise, returns a wrapped [filter] that also checks that the channel name match the [searchQuery]."
"private suspend fun observeChannels(searchQuery: String) { logger.d { ""ViewModel is observing channels. When state is available, it will be notified"" }queryChannelsState.filterNotNull().collectLatest { queryChannelsState ->channelMutes.combine(queryChannelsState.channelsStateData, ::Pair).map { (channelMutes, state) ->when (state) {ChannelsStateData.NoQueryActive,ChannelsStateData.Loading,-> channelsState.copy(isLoading = true,searchQuery = searchQuery).also {logger.d { ""Loading state for query"" }}ChannelsStateData.OfflineNoResults -> {logger.d { ""No offline results. Channels are empty"" }channelsState.copy(isLoading = false,channelItems = emptyList(),searchQuery = searchQuery)}is ChannelsStateData.Result -> {logger.d { ""Received result for state of channels"" }channelsState.copy(isLoading = false,channelItems = createChannelItems(state.channels, channelMutes),isLoadingMore = false,endOfChannels = queryChannelsState.endOfChannels.value,searchQuery = searchQuery)}}}.collectLatest { newState -> channelsState = newState }}}"	"Kicks off operations required to combine and build the [ChannelsState] object for the UI. t connects the 'loadingMore', 'channelsState' and 'endOfChannels' properties from the [queryChannelsState]. @param searchQuery The search query string used to search channels."
public fun selectChannel(channel: Channel?) { this.selectedChannel.value = channel}	Changes the currently selected channel state. This updates the UI state and allows us to observe the state change.
public fun setSearchQuery(newQuery: String) { this.searchQuery.value = newQuery}	Changes the current query state. This updates the data flow and triggers another query operation. The new operation will hold the channels that match the new query.
public fun setFilters(newFilters: FilterObject) {this.filterFlow.tryEmit(value = newFilters)}	Allows for the change of filters used for channel queries.
public fun setQuerySort(querySort: QuerySorter<Channel>) {this.querySortFlow.tryEmit(value = querySort)}	Allows for the change of the query sort used for channel queries.
"public fun loadMore() {logger.d { ""Loading more channels"" }if (chatClient.clientState.isOffline) returnval currentConfig = QueryConfigfilters = filterFlow.value ?: return, querySort = querySortFlow.value)channelsState = channelsState.copy(isLoadingMore = true)val currentQuery = queryChannelsState.value?.nextPageRequest?.value currentQuery?.copy( filter = createQueryChannelsFilter(currentConfig.filters, searchQuery.value),querySort = currentConfig.querySort)?.let { queryChannelsRequest ->chatClient.queryChannels(queryChannelsRequest).enqueue()}}"	Loads more data when the user reaches the end of the channels list.
public fun performChannelAction(channelAction: ChannelAction) { if (channelAction is Cancel) {selectedChannel.value = null}activeChannelAction = if (channelAction == Cancel) {null} else { channelAction} }	"Clears the active action if we've chosen [Cancel], otherwise, stores the selected action as the currently active action, in [activeChannelAction]."
"public fun muteChannel(channel: Channel) { dismissChannelAction()  chatClient.muteChannel(channel.type, channel.id).enqueue() }"	Mutes a channel.
"public fun unmuteChannel(channel: Channel) { dismissChannelAction() chatClient.unmuteChannel(channel.type, channel.id).enqueue() }"	Unmutes a channel. @param channel The channel to unmute.
public fun deleteConversation(channel: Channel) { dismissChannelAction() chatClient.channel(channel.cid).delete().toUnitCall().enqueue() }	"Deletes a channel, after the user chooses the delete [ChannelAction]. It also removes the [activeChannelAction], to remove the dialog from the UI."
"public fun leaveGroup(channel: Channel) { dismissChannelAction()  chatClient.getCurrentUser()?.let { user -> chatClient.channel(channel.type, channel.id).removeMembers(listOf(user.id)).enqueue() } }"	"Leaves a channel, after the user chooses the leave [ChannelAction]. It also removes the [activeChannelAction], to remove the dialog from the UI."
public fun dismissChannelAction() { activeChannelAction = null selectedChannel.value = null }	Dismisses the [activeChannelAction] and removes it from the UI.
"private fun createChannelItems(channels: List<Channel>, channelMutes: List<ChannelMute>): List<ChannelItemState> { val mutedChannelIds = channelMutes.map { channelMute -> channelMute.channel.cid }.toSet() return channels.map { ChannelItemState(it, it.cid in mutedChannelIds) } }"	Creates a list of [ChannelItemState] that represents channel items we show in the list of channels.
public val user: StateFlow<User?> = chatClient.clientState.user	The currently logged in user.
public var message: Message by mutableStateOf(Message()) private set	Represents the message that we observe to show the UI data.
public var isShowingOptions: Boolean by mutableStateOf(false) private set	Shows or hides the image options menu and overlay in the UI.
public var isShowingGallery: Boolean by mutableStateOf(false) private set	Shows or hides the image gallery menu in the UI.
init { chatClient.getMessage(messageId).enqueue { result ->if (result.isSuccess) {this.message = result.data()}}}	"Loads the message data, which then updates the UI state to shows images."
public fun toggleImageOptions(isShowingOptions: Boolean) {this.isShowingOptions = isShowingOptions}	Toggles if we're showing the image options menu.
public fun toggleGallery(isShowingGallery: Boolean) {this.isShowingGallery = isShowingGallery}	Toggles if we're showing the gallery screen.
public fun deleteCurrentImage(currentImage: Attachment) {val attachments = message.attachmentsval numberOfAttachments = attachments.sizeif (message.text.isNotEmpty() || numberOfAttachments > 1) {val imageUrl = currentImage.assetUrl ?: currentImage.imageUrlval message = message attachments.removeAll { it.assetUrl == imageUrl || it.imageUrl == imageUrl} chatClient.updateMessage(message).enqueue()} else if (message.text.isEmpty() && numberOfAttachments == 1) { chatClient.deleteMessage(message.id).enqueue { result ->if (result.isSuccess) { message = result.data()}}}}	"Deletes the current image from the message we're observing, if possible. This will in turn update the UI accordingly or finish this screen in case there are no more images to show."
public var attachmentsPickerMode: AttachmentsPickerMode by mutableStateOf(Images) private set	"Currently selected picker mode. [Images], [Files] or [MediaCapture]."
public var images: List<AttachmentPickerItemState> by mutableStateOf(emptyList())	"List of images available, from the system."
public var files: List<AttachmentPickerItemState> by mutableStateOf(emptyList())	"List of files available, from the system."
public var attachments: List<AttachmentPickerItemState> by mutableStateOf(emptyList())	"List of attachments available, from the system."
public val hasPickedFiles: Boolean get() = files.any { it.isSelected }	Gives us info if there are any file items that are selected.
public val hasPickedImages: Boolean get() = images.any { it.isSelected }	Gives us info if there are any image items that are selected.
public val hasPickedAttachments: Boolean get() = attachments.any { it.isSelected }	Gives us info if there are any attachment items that are selected.
public var isShowingAttachments: Boolean by mutableStateOf(false) private set	Gives us information if we're showing the attachments picker or not.
public fun loadData() { loadAttachmentsData(attachmentsPickerMode)}	Loads all the items based on the current type.
"public fun changeAttachmentPickerMode( attachmentsPickerMode: AttachmentsPickerMode, hasPermission: () -> Boolean = { true },) {this.attachmentsPickerMode = attachmentsPickerMode if (hasPermission()) loadAttachmentsData(attachmentsPickerMode) }"	Changes the currently selected [AttachmentsPickerMode] and loads the required data. If no permission is granted will not try and load data to avoid crashes.
public fun changeAttachmentState(showAttachments: Boolean) { isShowingAttachments = showAttachments  if (!showAttachments) {dismissAttachments()}}	Notifies the ViewModel if we should show attachments or not.
"private fun loadAttachmentsData(attachmentsPickerMode: AttachmentsPickerMode) { if (attachmentsPickerMode == Images) {val images = storageHelper.getMedia().map { AttachmentPickerItemState(it, false) } this.images = images this.attachments = images this.files = emptyList() } else if (attachmentsPickerMode == Files) {val files = storageHelper.getFiles().map { AttachmentPickerItemState(it, false) } this.files = files this.attachments = files this.images = emptyList() } }"	"Loads the attachment data, based on the [AttachmentsPickerMode]."
"public fun changeSelectedAttachments(attachmentItem: AttachmentPickerItemState) { val dataSet = attachments val itemIndex = dataSet.indexOf(attachmentItem) val newFiles = dataSet.toMutableList() val newItem = dataSet[itemIndex].copy(isSelected = !newFiles[itemIndex].isSelected) newFiles.removeAt(itemIndex)  newFiles.add(itemIndex, newItem) if (attachmentsPickerMode == Files) { files = newFiles } else if (attachmentsPickerMode == Images) { images = newFiles } attachments = newFiles }"	"Triggered when an [AttachmentMetaData] is selected in the list. Added or removed from the corresponding list, be it [files] or [images], based on [attachmentsPickerMode]."
public fun getSelectedAttachments(): List<Attachment> { val dataSet = if (attachmentsPickerMode == Files) files else images val selectedAttachments = dataSet.filter { it.isSelected } return storageHelper.getAttachmentsForUpload(selectedAttachments.map { it.attachmentMetaData }) }	"Loads up the currently selected attachments. It uses the [attachmentsPickerMode] to know which attachments to use - files or images. It maps all files to a list of [Attachment] objects, based on their type."
public fun getAttachmentsFromUris(uris: List<Uri>): List<Attachment> { return storageHelper.getAttachmentsFromUris(uris) }	Transforms selected file Uris to a list of [Attachment]s we can upload.
public fun getAttachmentsFromMetaData(metaData: List<AttachmentMetaData>): List<Attachment> { return storageHelper.getAttachmentsForUpload(metaData) }	Transforms the selected meta data into a list of [Attachment]s we can upload.
public fun dismissAttachments() { attachmentsPickerMode = Images images = emptyList() files = emptyList() }	"Triggered when we dismiss the attachments picker. We reset the state to show images and clear the items for now, until the user needs them again."
"private val channelState: StateFlow<ChannelState?> = chatClient.watchChannelAsState( cid = channelId, messageLimit = messageLimit, coroutineScope = viewModelScope)"	Holds information about the current state of the [Channel].
